,Time,CellName,PRBUsageUL,PRBUsageDL,meanThr_DL,meanThr_UL,maxThr_DL,maxThr_UL,meanUE_DL,meanUE_UL,maxUE_DL,maxUE_UL,maxUE_UL+DL
34331,4:45,3BLTE,10.0425,1.9149,0.4023,0.0455,15.5822,0.8126,1.2231,1.0974,5,4,9
12094,12:00,1ALTE,24.757,3.436,0.994,0.111,30.662,3.136,1.425,1.142,7,5,12
33157,4:15,5BLTE,4.85,0.404,0.005,0.004,0.421,0.072,1.021,1.021,2,2,4
32758,4:15,7VLTE,0.3189,0.9247,0.0457,0.0151,0.9135,0.2485,1.0846,0.0105,4,2,6
18304,10:00,1BLTE,6.0375,0.9961,0.2698,0.0382,9.4609,0.9992,1.1473,1.0651,4,3,7
29631,8:30,3ALTE,7.3507,2.6672,1.2123,0.0434,21.8757,0.5712,1.1007,1.0736,5,3,8
4412,11:30,9BLTE,3.2802,1.0453,0.2054,0.0262,6.5999,0.6208,1.0648,1.055,3,2,5
6200,18:45,7BLTE,0.4188,2.7434,0.9538,0.0439,22.5614,0.9621,1.2877,0.0107,4,3,7
10229,2:00,2ALTE,1.415,0.404,0.005,0.004,0.07,0.062,1.011,0.01,2,1,3
35323,16:00,4BLTE,20.9534,3.0655,0.7579,0.0993,31.1093,0.9945,1.3722,1.1284,7,4,11
13242,16:00,7ULTE,5.659,7.882,0.807,0.109,9.745,0.891,1.334,0.01,6,4,10
26027,14:00,9BLTE,3.537,0.707,0.285,0.034,13.667,1.148,1.061,1.021,3,2,5
20034,23:30,1CLTE,25.7633,3.6364,0.9021,0.1849,19.6488,8.8172,1.7094,1.3265,9,6,15
16706,15:15,1BLTE,19.301,5.76,1.86,0.104,44.219,0.878,1.364,1.101,6,4,10
16731,9:45,6VLTE,1.1634,3.3846,0.5427,0.0458,12.4014,0.7145,1.2063,0.0106,5,3,8
19572,11:45,7WLTE,2.425,3.638,0.726,0.105,21.789,2.874,1.455,0.01,6,4,10
26969,8:30,10BLTE,0.922,0.4202,0.0146,0.006,0.1528,0.0562,1.0612,1.0659,2,2,4
7466,6:15,6WLTE,0.303,3.234,0.392,0.032,5.493,1.048,1.061,0.01,3,2,5
12048,16:30,7BLTE,1.213,4.143,1.16,0.134,30.122,4.977,1.708,0.01,7,4,11
22060,2:30,7ALTE,0.0,0.404,0.043,0.014,1.767,0.157,1.021,0.01,2,1,3
34513,1:15,7VLTE,0.8145,1.3023,0.187,0.0189,12.5053,0.4694,1.0405,0.0101,3,2,5
13720,11:15,8BLTE,24.151,3.335,1.051,0.124,22.867,0.899,1.465,1.283,8,5,13
21429,17:15,4BLTE,27.688,4.446,1.393,0.565,40.343,25.337,1.789,1.314,10,6,16
25013,22:45,10ALTE,12.025,1.516,0.439,0.036,29.928,0.548,1.152,1.041,5,4,9
19610,23:00,8BLTE,14.5794,1.7597,0.5347,0.0601,15.8907,0.9749,1.2343,1.1085,5,3,8
6186,1:15,6CLTE,3.436,0.707,0.261,0.05,12.184,13.132,1.051,0.01,3,3,6
25215,8:30,7BLTE,0.202,0.808,0.26,0.029,52.492,0.672,1.192,0.01,5,2,7
5992,4:00,5ALTE,0.808,0.404,0.002,0.002,0.031,0.022,1.011,1.011,1,1,2
16260,10:45,6CLTE,4.2191,0.7183,0.2527,0.0275,9.3838,0.5338,1.1042,0.0103,5,2,7
26018,15:45,10BLTE,5.7457,1.005,0.3606,0.0355,62.3544,0.9079,1.1017,1.0362,3,3,6
17352,13:45,6BLTE,18.492,2.021,0.347,0.047,13.942,0.465,1.202,0.01,5,4,9
4447,7:30,7ULTE,1.92,1.819,0.318,0.041,10.377,0.642,1.112,0.01,4,3,7
27244,5:15,4CLTE,7.6921,3.0832,0.7239,0.0371,22.2959,0.3426,1.132,1.0378,4,3,7
26704,17:00,7CLTE,0.303,1.011,0.45,0.035,66.782,0.528,1.213,0.01,5,3,8
24844,11:30,6VLTE,1.92,3.234,0.34,0.041,11.558,0.936,1.233,0.01,5,5,10
12513,14:00,9ALTE,24.555,3.234,0.963,0.155,39.682,21.147,1.415,1.142,6,5,11
3859,15:45,4BLTE,25.566,4.042,0.988,0.104,41.175,2.01,1.485,1.213,6,5,11
20959,1:15,4ALTE,2.728,0.707,0.218,0.027,3.843,0.305,1.041,1.021,3,2,5
24177,19:00,7BLTE,0.1034,0.7225,0.0909,0.0157,8.3091,0.4759,1.1559,0.0101,5,2,7
23239,3:00,7ULTE,0.3164,1.3041,0.2709,0.0272,21.6378,0.9029,1.0856,0.0104,4,2,6
5888,20:45,6ULTE,0.8546,1.3861,0.0767,0.0192,3.0226,0.9684,1.1062,0.0101,4,2,6
11811,6:00,1ALTE,3.2602,0.8156,0.3435,0.0298,14.6235,0.8641,1.1003,1.0705,4,2,6
15342,18:15,3CLTE,6.366,2.728,1.094,0.037,39.289,1.187,1.112,1.061,4,3,7
28182,20:30,10ALTE,9.095,1.516,0.412,0.041,8.187,0.485,1.122,1.112,4,4,8
25368,12:30,4BLTE,27.081,4.951,1.008,0.12,26.689,1.908,1.566,1.253,9,6,15
3180,7:15,7CLTE,0.101,0.505,0.382,0.02,3.654,0.231,1.051,0.01,3,2,5
19365,16:15,6VLTE,1.314,2.627,0.406,0.043,16.515,0.819,1.172,0.01,4,3,7
16249,0:15,7WLTE,1.3337,3.7751,0.7451,0.0558,26.3086,1.4261,1.1731,0.0104,5,3,8
4823,16:30,10CLTE,5.356,1.112,0.229,0.03,6.123,0.359,1.091,1.091,3,3,6
7335,13:00,1CLTE,26.374,6.568,1.406,0.146,18.967,1.132,1.566,1.586,8,6,14
17096,12:45,10ALTE,10.703,1.9108,0.8183,0.0437,60.7415,0.807,1.1462,1.0726,4,4,8
14215,1:15,7WLTE,0.707,2.627,1.21,0.035,15.985,0.382,1.122,0.01,3,3,6
22132,18:15,7VLTE,3.436,7.781,0.974,0.107,18.586,1.139,1.455,0.01,7,4,11
5239,16:15,6WLTE,1.4982,4.0413,0.3666,0.0456,11.8272,1.3194,1.2816,0.0104,4,4,8
8673,1:15,5ALTE,1.011,0.505,0.076,0.015,2.724,0.338,1.011,1.011,2,2,4
32132,13:45,5ALTE,14.652,3.739,1.304,0.08,36.92,0.832,1.253,1.071,6,4,10
34656,0:00,7ULTE,0.6339,1.6487,0.3165,0.0448,20.256,2.6636,1.1667,0.0106,5,2,7
11540,14:45,4CLTE,15.158,3.436,0.599,0.059,12.374,0.618,1.243,1.142,5,4,9
9323,16:30,4ALTE,5.154,0.707,0.11,0.016,6.152,0.317,1.061,1.071,3,3,6
12496,2:15,3BLTE,5.861,5.053,4.547,0.11,51.872,0.687,1.374,1.031,5,3,8
22718,6:00,6ALTE,2.93,0.808,0.206,0.023,8.76,0.422,1.041,0.01,3,2,5
30988,7:00,10BLTE,0.808,0.404,0.098,0.025,3.156,0.477,1.031,1.011,3,2,5
21960,1:30,4BLTE,7.983,0.707,0.116,0.022,2.553,0.239,1.071,1.021,4,3,7
8942,1:30,6ALTE,3.964,0.8043,0.3334,0.0327,25.961,0.6474,1.0481,0.01,3,3,6
11209,9:00,2ALTE,0.404,0.404,0.019,0.007,0.159,0.098,1.011,0.01,1,1,2
10079,18:45,9ALTE,5.962,0.707,0.116,0.021,5.702,0.228,1.101,1.021,4,3,7
13454,0:30,7WLTE,0.505,1.415,0.19,0.017,9.106,0.325,1.061,0.01,3,2,5
17144,21:30,5CLTE,9.0327,1.2352,0.3337,0.0481,10.1253,1.4404,1.1448,1.0195,4,5,9
4319,15:15,5ALTE,9.499,1.718,0.406,0.039,40.412,1.054,1.172,1.051,4,3,7
11618,11:00,3BLTE,22.534,3.335,1.013,0.076,54.812,0.869,1.293,1.152,5,5,10
10521,22:30,9BLTE,3.638,0.606,0.082,0.019,6.037,0.199,1.051,1.041,3,2,5
