,Unusual
34331,1
12094,0
33157,0
32758,1
18304,1
29631,1
4412,1
6200,1
10229,0
35323,1
13242,0
26027,0
20034,1
16706,0
16731,1
19572,0
26969,1
7466,0
12048,0
22060,0
34513,1
13720,0
21429,0
25013,0
19610,1
6186,0
25215,0
5992,0
16260,1
26018,1
17352,0
4447,0
27244,1
26704,0
24844,0
12513,0
3859,0
20959,0
24177,1
23239,1
5888,1
11811,1
15342,0
28182,0
25368,0
3180,0
19365,0
16249,1
4823,0
7335,0
17096,1
14215,0
22132,0
5239,1
8673,0
32132,0
34656,1
11540,0
9323,0
12496,0
22718,0
30988,0
21960,0
8942,1
11209,0
10079,0
13454,0
17144,1
4319,0
11618,0
10521,0
18189,0
1480,1
31719,0
6619,0
23043,0
25807,0
16171,0
10391,0
12248,1
16732,1
31332,0
9038,0
12444,0
22772,1
35271,0
2664,1
14972,0
8810,0
3423,0
10158,1
10226,1
9441,0
21613,0
13498,0
23655,0
19944,0
24750,0
24015,0
7383,1
8124,0
24868,1
15776,0
6742,0
35927,0
9840,1
36879,1
36834,1
21107,0
5248,0
44,0
26842,0
12850,0
26794,0
31333,0
7167,1
20017,1
6925,1
3455,1
28593,0
9872,0
3228,0
22546,0
6216,0
30583,0
22392,0
8975,0
16879,0
14446,0
6701,1
8827,0
17702,0
22748,0
20961,0
23550,1
27651,1
31211,0
2480,0
8128,0
10877,0
34399,0
12578,0
14236,0
22824,0
32639,0
16501,0
11678,1
13885,0
26006,0
15423,0
12856,0
2848,1
9431,0
23445,0
34066,0
22396,0
3917,1
12191,0
18643,0
19294,1
30464,0
19321,0
12397,0
2005,1
1286,0
18550,0
6984,0
30941,0
25895,0
1173,0
26117,0
28643,0
8604,1
35921,1
34275,0
31908,0
19353,0
1377,0
3411,0
2382,0
26458,0
31409,0
599,0
6044,0
27260,0
33158,0
35425,1
34379,0
28273,0
33866,0
25939,0
12477,0
29739,1
26069,1
22664,1
5595,1
17612,1
20292,0
28904,0
25575,1
4316,0
26651,1
30803,1
17879,1
23154,1
19123,0
21812,0
3937,0
17278,1
8719,0
11645,0
8052,0
953,0
8812,0
17541,1
18546,0
35865,0
21281,0
31781,0
13130,0
30688,1
3215,0
6069,0
678,0
6415,0
29115,1
7737,0
35705,0
17860,0
32985,1
28190,1
4745,0
18916,1
6527,1
3576,1
32344,1
2230,0
17766,1
10672,0
20715,1
3316,0
30635,0
18036,1
14856,0
32380,0
33643,1
33919,0
29543,0
24450,0
20241,0
25667,0
1178,1
22919,0
6903,1
13565,1
4349,0
16711,0
16040,0
688,0
32419,0
6634,1
26506,0
11190,0
75,0
26591,0
4928,0
35129,0
24529,0
15598,1
3223,0
13678,0
20001,1
29402,1
24437,0
10858,0
34954,0
15878,1
15835,1
30639,0
10686,0
32263,0
3077,1
22577,0
26195,0
32334,0
15044,0
32385,0
16665,0
7110,1
31793,0
26228,0
27939,0
12784,0
19517,0
18141,0
15513,0
27461,0
8953,0
2297,0
25834,0
5572,1
9118,0
1149,0
10083,0
30155,0
21345,0
5989,0
17607,0
20675,1
10700,0
32958,0
30226,1
16245,1
36742,0
17975,1
18752,0
10031,0
11650,0
4575,1
22082,0
20609,0
12259,0
36886,0
29074,0
34830,0
35512,0
12377,0
28129,0
32604,1
31085,0
17008,0
21943,0
2707,1
25315,0
35672,0
20186,0
31867,0
17304,1
22387,0
2532,0
7047,1
15907,0
17296,0
28407,1
14025,0
2641,1
10573,0
7314,0
1547,0
17154,0
30669,1
23506,1
8113,0
25198,0
3084,0
27195,1
31094,0
7213,0
6443,0
35757,0
32723,0
23413,0
28177,0
26252,0
33332,0
19713,0
11654,0
34593,1
31683,1
9462,0
27447,1
16548,0
23324,0
7986,0
22022,0
29547,0
27081,0
6831,1
3847,0
21795,0
1929,1
35597,0
13918,0
32945,0
10179,0
11569,0
762,0
17958,0
25371,0
34001,0
3211,0
27045,0
18982,0
12502,1
31983,0
4427,0
13353,0
3740,0
6333,0
13668,0
17735,0
772,1
17189,0
27217,0
2780,0
34932,0
7381,1
10863,1
6393,1
36715,0
32602,1
24765,0
31923,0
27334,1
34064,0
9409,1
5219,0
34522,0
22274,0
7043,0
31339,1
19847,0
34430,0
25453,0
18638,0
30664,1
36811,0
951,0
1059,1
17398,0
2364,0
33964,1
22275,0
6676,1
11701,0
5787,1
17605,0
10899,1
36547,1
28151,0
7592,1
32917,1
33001,0
8896,0
22300,0
35992,1
8793,0
21434,0
15070,1
7279,1
18794,1
8999,0
20678,0
216,0
15676,0
23619,0
14999,0
10620,0
31100,0
1622,0
26104,1
16109,0
26202,0
29553,1
34049,0
15666,0
7105,1
5573,0
16316,1
31056,0
6012,0
14806,0
2802,0
10885,0
8309,1
30419,0
26384,0
30424,0
24293,0
11263,0
11394,1
1944,1
9508,1
25337,0
26400,1
1963,0
25740,1
25086,0
21338,0
13961,0
10250,0
25511,0
34559,0
7705,1
4356,0
22495,1
5612,0
4328,0
29395,0
5433,0
25421,0
13797,0
24604,0
17209,0
36764,1
26747,1
27994,0
10495,0
21510,0
9804,0
32057,1
20064,1
35186,0
3620,1
35403,0
29413,0
11207,0
32212,0
3302,0
5367,0
13581,0
21896,1
21254,0
31822,0
20545,0
10908,1
10306,1
5795,0
27439,1
10065,1
15921,0
33225,1
13964,1
28724,1
16081,1
10779,1
35861,0
2268,0
2407,0
15877,1
24679,1
26831,0
458,0
35773,0
20804,0
19,0
28546,0
25586,1
34401,0
7845,0
35641,1
23857,0
14374,0
22835,1
31644,0
18002,0
25226,1
1564,1
12512,0
24745,0
14159,0
33501,0
24157,1
32454,1
33586,1
22104,0
35443,1
4873,1
27375,0
958,1
21681,0
36737,0
16397,0
2557,0
18269,0
16112,0
30756,0
5079,0
8856,0
11529,0
35227,0
35437,0
9539,0
35099,0
2954,0
26582,0
13438,1
4736,0
6405,0
25034,0
27494,1
19019,0
20570,0
33646,0
16436,1
23573,0
11084,0
23136,0
5123,1
24539,1
33535,0
7718,1
28491,1
24853,0
26948,1
24277,0
27444,0
532,0
27002,1
23795,1
19031,0
30029,1
23940,0
36062,1
11419,0
28307,0
13300,0
21477,1
30807,0
11892,1
14232,1
17919,0
30890,0
31949,0
26810,0
7892,0
8174,0
26244,0
21888,0
6083,0
22695,0
21654,0
24643,0
24276,1
22302,0
23470,0
29561,0
14796,1
32609,0
21174,0
35065,0
21739,0
25684,0
5962,0
14884,0
30969,0
384,1
600,0
31605,1
20764,0
23049,1
20788,0
32817,0
5662,0
21108,0
9724,0
22204,0
5200,0
10823,1
5541,1
28359,1
35581,0
6862,0
141,1
13588,0
663,0
18401,0
22282,1
26809,1
20434,0
33758,0
31566,1
14916,0
16599,1
19005,0
6534,1
4552,1
20818,0
16090,1
16003,0
34796,1
27770,0
15023,0
8392,0
13404,0
21427,1
7384,1
16449,0
36518,0
15238,1
23808,0
16857,0
36900,0
2081,0
30703,0
24639,1
2745,1
21981,0
33067,1
11225,0
24402,0
28206,0
30301,0
22253,0
2958,0
5815,0
18658,0
17386,0
35815,0
3410,0
5741,0
9460,1
11606,1
9353,0
20206,0
27601,1
35817,0
14014,1
7358,0
1932,0
8325,0
3571,0
14484,0
5744,1
24366,0
13718,0
34105,0
28044,0
27856,0
1254,0
19561,1
24269,0
25116,0
11369,0
21321,0
1864,1
19026,1
1617,0
32470,1
8636,0
15259,0
25213,1
15845,0
20574,0
1302,0
1512,1
10580,1
18240,1
17303,0
25650,0
36096,1
